Sleep On, Date, Hour, Real (out), Imaginary (out)
0,Apr 02 - 2018,6:48,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:51,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:54,0.0000000000,0.0000000000
0,Apr 02 - 2018,6:57,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:03,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:06,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:09,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:12,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:15,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:18,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:21,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:24,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:27,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:30,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:33,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:36,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:39,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:42,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:45,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:48,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:51,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:54,0.0000000000,0.0000000000
0,Apr 02 - 2018,7:57,0.0000000000,0.0000000000
0,Apr 02 - 2018,8:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,8:03,0.0000000000,0.0000000000
